Flow Card?,Quarter,Premium,First,Economy,Business,Aggregation
No,1,241.2,1030.0,204.0,515.0,min
No,2,240.0,1000.0,202.0,507.5,min
No,3,240.0,1000.0,201.0,517.5,min
No,4,240.0,1015.0,200.0,510.0,min
Yes,1,249.6,1020.0,201.0,502.5,min
Yes,2,240.0,1020.0,200.0,500.0,min
Yes,3,241.2,1005.0,206.0,502.5,min
Yes,4,249.6,1030.0,205.0,505.0,min
No,1,574.8,2340.0,438.0,1075.0,median
No,2,553.8,2325.0,445.0,1205.0,median
No,3,490.8,2285.0,487.0,1125.0,median
No,4,555.6,2202.5,428.0,1062.5,median
Yes,1,523.1999999999999,2325.0,447.5,1160.0,median
Yes,2,517.8,2290.0,459.0,1071.25,median
Yes,3,553.8,2347.5,457.0,1090.0,median
Yes,4,522.5999999999999,2212.5,424.0,1108.75,median
No,1,834.0,3455.0,699.0,1702.5,max
No,2,828.0,3480.0,694.0,1745.0,max
No,3,838.7999999999998,3475.0,691.0,1747.5,max
No,4,835.1999999999998,3465.0,698.0,1730.0,max
Yes,1,840.0,3500.0,698.0,1737.5,max
Yes,2,840.0,3490.0,696.0,1737.5,max
Yes,3,840.0,3495.0,697.0,1750.0,max
Yes,4,834.0,3460.0,697.0,1722.5,max
